13:22:54.635 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 23880 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 23880 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:01:35.658 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:01:40.806 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.677 seconds (JVM running for 6.093)]- Started DemoApplication in 5.677 seconds (JVM running for 6.093)
18:02:50.640 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 4420 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 4420 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:02:50.645 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:02:55.731 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.645 seconds (JVM running for 6.052)]- Started DemoApplication in 5.645 seconds (JVM running for 6.052)
18:04:32.490 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 3188 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 3188 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:04:32.494 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:04:37.026 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.094 seconds (JVM running for 5.503)]- Started DemoApplication in 5.094 seconds (JVM running for 5.503)
18:05:08.148 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:40] [Message:11]- 11
18:05:08.181 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
18:05:08.181 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
18:05:08.181 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
18:05:08.225 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:42] [Message:15]- 15
18:06:06.773 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 18732 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 18732 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:06:06.777 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:06:11.393 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.142 seconds (JVM running for 5.54)]- Started DemoApplication in 5.142 seconds (JVM running for 5.54)
18:06:13.385 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:40] [Message:11]- 11
18:06:13.431 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
18:06:13.432 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
18:06:13.433 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
18:06:13.479 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:42] [Message:15]- 15
18:08:28.359 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 20260 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 20260 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:08:28.363 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:08:33.451 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.782 seconds (JVM running for 6.212)]- Started DemoApplication in 5.782 seconds (JVM running for 6.212)
18:08:37.840 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:41] [Message:11]- 11
18:08:37.870 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
18:08:37.871 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
18:08:37.871 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
18:08:37.910 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:43] [Message:15]- 15
18:09:05.282 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 11204 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 11204 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:09:05.286 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:09:09.750 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.023 seconds (JVM running for 5.469)]- Started DemoApplication in 5.023 seconds (JVM running for 5.469)
18:09:11.945 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:41] [Message:11]- 11
18:09:11.974 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
18:09:11.975 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
18:09:11.975 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
18:09:12.015 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:43] [Message:15]- 15
18:09:50.935 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 596 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 596 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:09:50.939 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:09:55.208 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 4.822 seconds (JVM running for 5.254)]- Started DemoApplication in 4.822 seconds (JVM running for 5.254)
18:10:11.413 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:41] [Message:11]- 11
18:10:11.446 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
18:10:11.447 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
18:10:11.447 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
18:10:11.490 INFO  [File:OrderProvider.java] [Func:getOrderHistory] [Line:43] [Message:15]- 15
